"Tm","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","GDP","HBP","SacBunt","SacFly","LOB"
"Baltimore Orioles","162","6123","5495","807","1399","309","28","183","780","114","24","512","1370","114","45","21","47","1041"
"Boston Red Sox","162","6174","5562","772","1437","339","19","182","734","112","26","486","1372","118","71","11","35","1117"
"Chicago White Sox","162","5980","5501","641","1308","264","13","171","617","86","22","377","1424","122","52","16","29","1009"
"Cleveland Guardians","162","6096","5513","662","1379","294","29","124","622","151","36","471","1142","108","55","13","44","1121"
"Detroit Tigers","162","6080","5478","661","1292","245","29","165","635","85","23","508","1473","107","49","13","31","1103"
"Houston Astros","162","6253","5567","827","1441","280","22","222","799","107","32","550","1241","124","72","14","40","1134"
"Kansas City Royals","162","5985","5428","676","1325","258","43","163","651","163","47","411","1396","96","71","14","58","1009"
"Los Angeles Angels","162","6145","5489","739","1346","248","26","231","708","72","31","518","1524","117","79","8","46","1102"
"Minnesota Twins","162","6219","5489","778","1336","264","24","233","745","86","18","594","1654","119","92","12","32","1138"
"New York Yankees","162","5973","5323","673","1207","221","15","219","650","100","30","557","1427","119","47","9","36","1007"
"Oakland Athletics","162","5966","5311","585","1187","225","21","171","563","149","31","498","1496","125","85","28","36","1043"
"Seattle Mariners","162","6201","5500","758","1332","283","12","210","728","118","30","548","1603","95","111","4","37","1144"
"Tampa Bay Rays","162","6164","5511","860","1432","282","24","230","827","160","41","514","1420","109","95","6","38","1047"
"Texas Rangers","162","6306","5595","881","1470","326","18","233","845","79","19","599","1416","103","53","10","47","1164"
"Toronto Blue Jays","162","6220","5562","746","1423","292","19","188","705","99","34","550","1303","129","69","4","32","1170"