"Year","Mac","PC","MacShare"
"2004","4.1","229.5","1.8"
"2005","5.7","240.1","2.4"
"2006","6.2","254.4","2.4"
"2007","7.6","275.5","2.7"
"2008","9.1","285.5","3.2"
"2009","9.4","260.8","3.6"
"2010","13.8","306.3","4.5"
"2011","17","290.4","5.8"
"2012","15.4","270.6","5.7"
"2013","16.3","257.5","6.3"
"2014","18.9","289.6","6.5"
"2015","20.1","260.4","7.7"
"2016","20.6","260.9","7.9"
"2017","19.6","256.2","7.6"
"2018","19.5","253.1","7.7"
"2019","18.9","254.3","7.4"
"2020","22.6","250.8","9"
"2021","25.4","264.4","9.6"
"2022","27.5","255.7","10.7"
"2023","28","250","11.2"