Team,G,PA,AB,R,H,x2B,x3B,HR,RBI,SB,CS,BB,SO,GDP,HBP,SH,SF,IBB,LOB
Diamondbacks,138,5288,4674,680,1169,236,33,190,664,100,30,462,1120,92,69,27,53,16,936
Athletics,138,5245,4723,625,1193,250,16,187,607,67,24,436,1192,107,35,14,32,13,940
Braves,137,5242,4663,604,1138,207,14,154,584,68,19,492,1183,81,44,14,28,14,997
Orioles,137,5099,4608,595,1113,225,17,164,563,95,31,385,1194,92,66,3,37,10,868
Red Sox,138,5290,4729,678,1192,274,21,166,647,116,35,449,1218,79,66,11,35,21,951
Cubs,137,5224,4664,676,1164,229,25,186,660,135,29,463,1060,60,40,9,46,13,939
White Sox,137,5064,4547,536,1060,206,9,136,517,78,20,427,1135,90,35,19,31,8,909
Reds,137,5159,4613,611,1137,217,20,136,576,92,28,449,1188,89,47,12,38,14,928
Guardians,135,4947,4413,519,982,192,14,137,500,105,30,413,1117,66,52,23,46,26,849
Rockies,137,5018,4590,516,1098,222,35,138,502,71,34,342,1271,101,42,16,27,5,843
Tigers,138,5182,4643,661,1159,211,32,174,635,58,14,429,1215,79,59,5,42,9,896
Astros,137,5141,4628,572,1167,206,11,151,547,66,24,404,1080,110,58,15,35,13,952
Royals,137,5064,4582,529,1129,242,19,132,520,99,39,359,932,83,58,27,35,18,908
Angels,136,5073,4534,581,1037,187,14,190,561,69,25,420,1338,79,75,10,30,19,878
Dodgers,137,5234,4625,700,1166,217,17,202,673,78,23,506,1158,94,48,8,45,26,927
Marlins,137,5192,4685,599,1178,230,26,131,569,112,36,411,1076,82,41,19,36,12,946
Brewers,138,5296,4694,703,1217,224,15,149,655,141,48,473,1080,76,60,24,41,14,966
Twins,136,5081,4552,573,1083,207,16,162,546,78,26,415,1126,87,79,6,28,8,914
Mets,137,5227,4608,650,1152,226,18,188,634,118,13,483,1097,106,77,11,46,25,976
Yankees,137,5292,4646,719,1162,220,19,233,692,110,28,539,1210,87,46,8,45,39,966
Phillies,137,5209,4663,650,1197,225,20,170,625,113,24,447,1103,79,51,14,31,15,959
Pirates,138,5119,4577,500,1071,206,18,100,480,103,31,450,1201,107,45,13,30,18,964
Padres,137,5152,4576,582,1154,224,16,119,547,90,26,442,962,90,50,43,39,16,968
Mariners,137,5232,4652,627,1124,186,7,195,602,135,32,459,1221,84,72,21,27,20,951
Giants,137,5133,4550,580,1072,205,25,140,551,62,19,463,1173,89,56,22,41,9,923
Cardinals,138,5183,4641,603,1146,227,6,132,574,77,21,415,1099,96,69,18,36,14,931
Rays,136,5081,4596,611,1148,204,15,154,579,172,44,392,1166,85,42,12,37,9,866
Rangers,138,5154,4635,596,1104,214,12,155,574,116,29,417,1125,76,56,8,36,18,910
Blue Jays,137,5253,4676,675,1253,247,9,162,651,67,20,445,921,114,60,30,35,22,974
Nationals,136,5046,4551,571,1107,223,21,126,548,112,40,393,1099,86,51,18,31,10,858